time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446250000	16.5154	4.51909	5.16963	0.704821	0.352439	radar	0.667298	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6946	4.69145	5.1589	0.727402	0.358556	lidar	0.441476	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8502	4.89407	5.12411	0.776785	0.410709	radar	4.90354	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0152	5.11567	5.13991	0.815269	0.430433	lidar	0.605579	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1849	5.29382	5.12275	0.837954	0.437001	radar	1.87054	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3469	5.47705	5.11103	0.858764	0.436404	lidar	0.257986	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5021	5.65856	5.08564	0.883964	0.447794	radar	3.56688	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6992	5.78727	5.05806	0.873876	0.41267	lidar	2.15209	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8395	5.99603	5.04236	0.912268	0.443246	radar	1.5248	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0167	6.18007	5.04544	0.921973	0.429103	lidar	0.669557	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1627	6.39278	5.04937	0.949049	0.436937	radar	0.605664	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2866	6.62146	5.05513	0.983423	0.450678	lidar	0.393416	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4154	6.84114	5.05259	1.0141	0.463948	radar	0.299332	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
